image_size_mb,strategy,policy,num_sats,total_in_view,connected_when_in_view,missed_when_in_view,connection_efficiency,missed_opportunity_rate
28.0,close-spaced,roundrobin,1,1673,1673,0,100.0,0.0
28.0,close-spaced,random,1,1673,1673,0,100.0,0.0
28.0,close-spaced,sticky,50,29142,1677,27465,5.7545810170887375,94.24541898291126
28.0,close-spaced,fifo,50,29142,1677,27465,5.7545810170887375,94.24541898291126
28.0,close-spaced,roundrobin,50,29142,1677,27465,5.7545810170887375,94.24541898291126
28.0,close-spaced,random,50,29142,1677,27465,5.7545810170887375,94.24541898291126
28.0,close-spaced,sticky,100,57172,1677,55495,2.933254040439376,97.06674595956062
28.0,close-spaced,fifo,100,57172,1677,55495,2.933254040439376,97.06674595956062
28.0,close-spaced,roundrobin,100,57172,1677,55495,2.933254040439376,97.06674595956062
28.0,close-spaced,random,100,57172,1677,55495,2.933254040439376,97.06674595956062
28.0,close-spaced,sticky,200,113228,1677,111551,1.4810824177765218,98.51891758222348
28.0,close-spaced,fifo,200,113228,1677,111551,1.4810824177765218,98.51891758222348
28.0,close-spaced,roundrobin,200,113228,1677,111551,1.4810824177765218,98.51891758222348
28.0,close-spaced,random,200,113228,1677,111551,1.4810824177765218,98.51891758222348
28.0,frame-spaced,sticky,1,1673,1673,0,100.0,0.0
28.0,frame-spaced,fifo,1,1673,1673,0,100.0,0.0
28.0,frame-spaced,roundrobin,1,1673,1673,0,100.0,0.0
28.0,frame-spaced,random,1,1673,1673,0,100.0,0.0
28.0,frame-spaced,sticky,50,29303,1955,27348,6.671671842473467,93.32832815752653
28.0,frame-spaced,fifo,50,29303,1955,27348,6.671671842473467,93.32832815752653
28.0,frame-spaced,roundrobin,50,29303,1955,27348,6.671671842473467,93.32832815752653
28.0,frame-spaced,random,50,29303,1955,27348,6.671671842473467,93.32832815752653
28.0,frame-spaced,sticky,100,57502,2243,55259,3.9007338875169557,96.09926611248304
28.0,frame-spaced,fifo,100,57502,2243,55259,3.9007338875169557,96.09926611248304
28.0,frame-spaced,roundrobin,100,57502,2243,55259,3.9007338875169557,96.09926611248304
28.0,frame-spaced,random,100,57502,2243,55259,3.9007338875169557,96.09926611248304
28.0,frame-spaced,sticky,200,112575,2714,109861,2.410837219631357,97.58916278036864
28.0,frame-spaced,fifo,200,112575,2714,109861,2.410837219631357,97.58916278036864
28.0,frame-spaced,roundrobin,200,112576,2717,109859,2.413480670835702,97.5865193291643
