image_size_mb,strategy,policy,num_sats,sim_duration,productive_time,total_idle_time,total_idle_pct,total_connected_events,connected_idle_events,connected_idle_pct
2.799,frame-spaced,random,200,21600,2631,18969,87.81944444444446,2714,83,3.058216654384672
2.799,orbit-spaced,sticky,1,21600,1156,20444,94.64814814814815,1673,517,30.90257023311417
2.799,orbit-spaced,fifo,1,21600,1156,20444,94.64814814814815,1331,175,13.148009015777612
2.799,orbit-spaced,roundrobin,1,21600,1156,20444,94.64814814814815,1673,517,30.90257023311417
2.799,orbit-spaced,random,1,21600,1156,20444,94.64814814814815,1331,175,13.148009015777612
2.799,orbit-spaced,sticky,25,21600,19816,1784,8.25925925925926,21597,1781,8.246515719775894
2.799,orbit-spaced,fifo,25,21600,20119,1481,6.856481481481482,21030,911,4.331906799809795
2.799,orbit-spaced,roundrobin,25,21600,20035,1565,7.24537037037037,21579,1544,7.155104499745122
2.799,orbit-spaced,random,25,21600,20121,1479,6.847222222222222,21028,907,4.313296556971657
2.799,orbit-spaced,sticky,50,21600,20736,864,4.0,21597,861,3.986664814557577
2.799,orbit-spaced,fifo,50,21600,20937,663,3.0694444444444446,21597,660,3.0559799972218364
2.799,orbit-spaced,roundrobin,50,21600,20844,756,3.5000000000000004,21582,738,3.419516263552961
2.799,orbit-spaced,random,50,21600,20941,659,3.050925925925926,21597,656,3.037458906329583
2.799,orbit-spaced,sticky,100,21600,20993,607,2.8101851851851856,21597,604,2.7966847247302864
2.799,orbit-spaced,fifo,100,21600,21332,268,1.2407407407407407,21597,265,1.227022271611798
2.799,orbit-spaced,roundrobin,100,21600,21203,397,1.837962962962963,21600,397,1.837962962962963
2.799,orbit-spaced,random,100,21600,21316,284,1.3148148148148149,21597,281,1.301106635180812
2.799,orbit-spaced,sticky,200,21600,21037,563,2.6064814814814814,21597,560,2.5929527249154973
2.799,orbit-spaced,fifo,200,21600,21489,111,0.513888888888889,21597,108,0.5000694540908459
2.799,orbit-spaced,roundrobin,200,21600,21372,228,1.0555555555555556,21600,228,1.0555555555555556
2.799,orbit-spaced,random,200,21600,21443,157,0.7268518518518519,21597,154,0.7130619993517618
28.0,close-orbit-spaced,sticky,1,21600,1648,19952,92.37037037037037,1673,25,1.4943215780035863
28.0,close-orbit-spaced,fifo,1,21600,1648,19952,92.37037037037037,1673,25,1.4943215780035863
28.0,close-orbit-spaced,roundrobin,1,21600,1648,19952,92.37037037037037,1673,25,1.4943215780035863
28.0,close-orbit-spaced,random,1,21600,1648,19952,92.37037037037037,1673,25,1.4943215780035863
28.0,close-orbit-spaced,sticky,25,21600,21530,70,0.32407407407407407,21597,67,0.31022827244524703
28.0,close-orbit-spaced,fifo,25,21600,21542,58,0.2685185185185185,21597,55,0.2546649997684864
28.0,close-orbit-spaced,roundrobin,25,21600,21484,116,0.537037037037037,21579,95,0.4402428286760276
28.0,close-orbit-spaced,random,25,21600,21542,58,0.2685185185185185,21597,55,0.2546649997684864
28.0,close-orbit-spaced,sticky,50,21600,21534,66,0.3055555555555556,21597,63,0.29170718155299347
28.0,close-orbit-spaced,fifo,50,21600,21576,24,0.1111111111111111,21597,21,0.09723572718433116
28.0,close-orbit-spaced,roundrobin,50,21600,21483,117,0.5416666666666667,21581,98,0.45410314628608495
28.0,close-orbit-spaced,random,50,21600,21568,32,0.14814814814814814,21597,29,0.13427790896883826
28.0,close-orbit-spaced,sticky,100,21600,21410,190,0.8796296296296297,21597,187,0.8658609992128536
28.0,close-orbit-spaced,fifo,100,21600,21574,26,0.12037037037037038,21597,23,0.10649627263045794
28.0,close-orbit-spaced,roundrobin,100,21600,21512,88,0.4074074074074074,21600,88,0.4074074074074074
28.0,close-orbit-spaced,random,100,21600,21577,23,0.10648148148148148,21597,20,0.09260545446126776
28.0,close-orbit-spaced,sticky,200,21600,21421,179,0.8287037037037037,21597,176,0.8149279992591564
28.0,close-orbit-spaced,fifo,200,21600,21584,16,0.07407407407407407,21597,13,0.06019354539982405
28.0,close-orbit-spaced,roundrobin,200,21600,21523,77,0.3564814814814815,21600,77,0.3564814814814815
28.0,close-orbit-spaced,random,200,21600,21585,15,0.06944444444444445,21597,12,0.055563272676760665
28.0,close-spaced,sticky,1,21600,1648,19952,92.37037037037037,1673,25,1.4943215780035863
28.0,close-spaced,fifo,1,21600,1648,19952,92.37037037037037,1673,25,1.4943215780035863
28.0,close-spaced,roundrobin,1,21600,1648,19952,92.37037037037037,1673,25,1.4943215780035863
28.0,close-spaced,random,1,21600,1648,19952,92.37037037037037,1673,25,1.4943215780035863
28.0,close-spaced,sticky,25,21600,1652,19948,92.35185185185185,1677,25,1.4907573047107932
28.0,close-spaced,fifo,25,21600,1652,19948,92.35185185185185,1677,25,1.4907573047107932
28.0,close-spaced,roundrobin,25,21600,1652,19948,92.35185185185185,1677,25,1.4907573047107932
28.0,close-spaced,random,25,21600,1652,19948,92.35185185185185,1677,25,1.4907573047107932
28.0,close-spaced,sticky,50,21600,1652,19948,92.35185185185185,1677,25,1.4907573047107932
28.0,close-spaced,fifo,50,21600,1652,19948,92.35185185185185,1677,25,1.4907573047107932
