image_size_mb,policy,num_sats,orbital_spacing_deg,data_downloaded_gb
280.0,sticky,18,20.0,307.3849550693359
280.0,fifo,18,20.0,307.3849550693359
280.0,roundrobin,18,20.0,307.3849550693359
280.0,random,18,20.0,307.3849550693359
280.0,sticky,19,18.94736842105263,307.46269629687504
280.0,fifo,19,18.94736842105263,307.46269629687504
280.0,roundrobin,19,18.94736842105263,304.8956411035157
280.0,random,19,18.94736842105263,307.46269629687504
280.0,sticky,20,18.0,306.9908408701172
280.0,fifo,20,18.0,306.9908408701172
280.0,roundrobin,20,18.0,304.90346371386715
280.0,random,20,18.0,306.9908408701172
280.0,sticky,25,14.4,301.1688067861328
280.0,fifo,25,14.4,301.1688067861328
280.0,roundrobin,25,14.4,300.79562994433593
280.0,random,25,14.4,301.15088027246094
280.0,sticky,50,7.2,276.86226492871094
280.0,fifo,50,7.2,274.92981523144533
280.0,roundrobin,50,7.2,275.5732903994141
280.0,random,50,7.2,299.2363443769531
280.0,sticky,100,3.6,265.12377896875
280.0,fifo,100,3.6,262.2765632802734
280.0,roundrobin,100,3.6,263.5674271523438
280.0,random,100,3.6,298.77109161523435
280.0,sticky,200,1.8,259.811001897461
280.0,fifo,200,1.8,256.5389066835937
280.0,roundrobin,200,1.8,257.8795837412109
280.0,random,200,1.8,298.6881708447265
1024.0,sticky,1,360.0,23.14702342285156
1024.0,fifo,1,360.0,23.14702342285156
1024.0,roundrobin,1,360.0,23.14702342285156
1024.0,random,1,360.0,23.14702342285156
1024.0,sticky,10,36.0,222.95519328320313
1024.0,fifo,10,36.0,222.95519328320313
1024.0,roundrobin,10,36.0,222.95519328320313
1024.0,random,10,36.0,222.95519328320313
1024.0,sticky,15,24.0,303.4362302304687
1024.0,fifo,15,24.0,303.4362302304687
1024.0,roundrobin,15,24.0,303.4362302304687
1024.0,random,15,24.0,303.4362302304687
1024.0,sticky,17,21.176470588235293,306.50130054492183
1024.0,fifo,17,21.176470588235293,306.50130054492183
1024.0,roundrobin,17,21.176470588235293,306.50130054492183
1024.0,random,17,21.176470588235293,306.50130054492183
1024.0,sticky,18,20.0,307.3849550693359
1024.0,fifo,18,20.0,307.3849550693359
1024.0,roundrobin,18,20.0,307.3849550693359
1024.0,random,18,20.0,307.3849550693359
1024.0,sticky,19,18.94736842105263,307.46269629687504
1024.0,fifo,19,18.94736842105263,307.46269629687504
1024.0,roundrobin,19,18.94736842105263,304.8956411035157
1024.0,random,19,18.94736842105263,307.46269629687504
1024.0,sticky,20,18.0,306.9908408701172
