image_size_mb,strategy,policy,num_sats,data_downloaded_gb
1024.0,orbit-spaced,sticky,25,301.1688067861328
1024.0,orbit-spaced,fifo,25,301.1688067861328
1024.0,orbit-spaced,roundrobin,25,300.79562994433593
1024.0,orbit-spaced,random,25,301.15088027246094
1024.0,orbit-spaced,sticky,50,276.86226492871094
1024.0,orbit-spaced,fifo,50,274.92981523144533
1024.0,orbit-spaced,roundrobin,50,275.5732903994141
1024.0,orbit-spaced,random,50,299.2363443769531
1024.0,orbit-spaced,sticky,100,265.12377896875
1024.0,orbit-spaced,fifo,100,262.2765632802734
1024.0,orbit-spaced,roundrobin,100,263.5674271523438
1024.0,orbit-spaced,random,100,298.77109161523435
1024.0,orbit-spaced,sticky,200,259.811001897461
1024.0,orbit-spaced,fifo,200,256.5389066835937
1024.0,orbit-spaced,roundrobin,200,257.8795837412109
1024.0,orbit-spaced,random,200,298.6881708447265
